food_name,calories,protein_g,fat_g,carbs_g,fibre_g
"Coffee, long black, from ground coffee beans",1.9120458891013383,0.3,0.1,0.0,0.0
"Coffee, flat white/latte/cappuccino, from ground coffee beans, with regular fat cow's milk",46.84512428298279,2.8,2.6,3.4,0.0
"Cordial base, 25% citrus fruit juice, regular",144.83747609942637,0.0,0.0,37.3,0.0
"Cordial base, 40% citrus fruit juice, regular",157.50478011472273,0.2,0.0,40.2,0.0
"Cordial base, blackcurrant juice, regular",174.71319311663478,0.1,0.0,45.0,0.0
"Cordial base, fruit juice/flavours, intense sweetened or diet",29.39770554493308,0.0,0.0,7.1,0.0
"Cordial, 25% citrus fruit juice, regular, recommended dilution",33.93881453154876,0.0,0.0,8.7,0.0
"Cordial, 40% citrus fruit juice, regular, recommended dilution",36.80688336520076,0.0,0.0,9.4,0.0
"Cordial, blackcurrant juice, regular, recommended dilution",36.089866156787764,0.0,0.0,9.3,0.0
"Cordial, fruit juice/flavours, recommended dilution",25.5736137667304,0.0,0.0,6.5,0.0
"Cordial, fruit juice/flavours, intense sweetened or diet, recommended dilution",2.8680688336520075,0.0,0.0,0.7,0.0
"Juice, apple, commercial, added vitamin C",28.91969407265774,0.2,0.0,7.0,0.2
"Juice, apple & blackcurrant, commercial",38.718929254302104,0.2,0.0,9.3,0.0
"Juice, lemon",26.529636711281068,0.6,0.1,1.8,2.0
"Juice, lime",27.963671128107073,0.8,0.1,1.2,3.6
"Juice, orange, commercial",32.026768642447415,0.8,0.0,6.8,0.3
"Juice, orange & mango, commercial",34.894837476099426,0.6,0.0,7.7,0.2
"Juice, vegetable blend, commercial",16.96940726577438,0.9,0.0,2.7,0.6
"Fruit drink, apple juice",32.74378585086042,0.1,0.0,8.2,0.0
"Fruit drink, blackcurrant, commercial",38.24091778202677,0.2,0.0,9.8,0.0
"Fruit drink, cranberry",47.08413001912046,0.0,0.0,12.2,0.1
"Fruit drink, orange juice",39.19694072657744,0.2,0.0,9.6,0.1
"Soft drink, cola flavour",49.235181644359464,0.0,0.2,12.3,0.0
"Soft drink, cola flavour, decaffeinated",49.235181644359464,0.0,0.2,12.3,0.0
"Soft drink, cola flavour, intense sweetened or diet",0.0,0.0,0.0,0.0,0.0
"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",0.0,0.0,0.0,0.0,0.0
"Soft drink, dry ginger ale or ginger beer, regular",37.76290630975143,0.0,0.0,9.8,0.0
"Soft drink, fruit flavours",33.93881453154876,0.0,0.0,8.8,0.0
"Soft drink, tonic water",33.93881453154876,0.0,0.0,8.8,0.0
"Soft drink, fruit flavours, intense sweetened or diet",0.2390057361376673,0.0,0.0,0.0,0.0
"Soft drink, tonic water, intense sweetened or diet",0.2390057361376673,0.0,0.0,0.0,0.0
"Soft drink, energy drink, Red Bull",43.49904397705545,0.1,0.0,10.8,0.0
"Soft drink, energy drink, V",43.49904397705545,0.1,0.0,10.8,0.0
"Kombucha, flavoured, added juice or intense sweeteners",6.692160611854684,0.0,0.0,0.9,0.1
"Tea, regular, black, brewed from leaf or teabags, without milk",0.2390057361376673,0.1,0.0,0.0,0.0
"Tea, black, brewed from leaf or teabags, decaffeinated",0.2390057361376673,0.1,0.0,0.0,0.0
"Tea, green, plain, without milk",0.9560229445506692,0.2,0.0,0.0,0.0
"Mineral water, natural, unflavoured",0.0,0.0,0.0,0.0,0.0
"Mineral water, citrus flavoured",15.05736137667304,0.0,0.0,3.7,0.0
"Water, bottled, still",0.0,0.0,0.0,0.0,0.0
"Water, soda",0.0,0.0,0.0,0.0,0.0
"Water, tap",0.0,0.0,0.0,0.0,0.0
"Biscuit, savoury, corn cake, plain, salted",369.7418738049713,9.8,3.0,71.5,5.9
"Biscuit, savoury, rice cracker, plain",388.623326959847,7.0,4.3,78.8,0.9
"Biscuit, savoury, rice cracker, added vegetable powder",394.5984703632887,6.6,7.4,73.8,2.0
"Biscuit, savoury, rice cake, from brown rice, plain",383.1261950286807,8.8,3.5,76.3,3.5
"Biscuit, savoury, rice cracker, flavoured (excluding seaweed)",393.4034416826004,7.1,6.7,74.1,1.5
"Biscuit, savoury, rice cracker, seaweed flavoured",358.50860420650093,9.6,1.2,75.3,1.6
"Biscuit, savoury, from rye flour, crispbread",324.09177820267684,8.8,1.3,60.6,16.5
"Biscuit, savoury, seed based",572.4187380497132,20.1,49.6,6.0,14.6
"Biscuit, savoury, from white wheat flour, flaky cracker style",494.02485659655827,11.5,20.7,63.6,3.0
"Biscuit, savoury, from white wheat flour, plain snack cracker style",491.87380497131926,8.1,20.7,66.3,3.4
"Biscuit, savoury, from white wheat flour, Salada style",426.6252390057361,9.2,14.2,63.1,3.6
"Biscuit, savoury, from white wheat flour, water cracker style",394.35946462715106,10.4,7.2,69.4,3.7
"Biscuit, savoury, from white wheat flour, cheese-flavoured",498.565965583174,12.0,24.2,56.4,2.9
"Biscuit, savoury, from white wheat flour, flavoured (excluding cheese)",501.43403441682597,9.6,24.5,59.7,2.0
"Biscuit, savoury, from wholemeal wheat flour, crispbread",374.52198852772466,10.6,8.1,59.1,9.9
"Biscuit, savoury, from wholemeal wheat flour & rye flour, crispbread, puffed",385.038240917782,14.0,3.8,69.1,7.6
"Biscuit, savoury, from wheat flour, crispbread, puffed & toasted",373.565965583174,12.3,5.6,66.1,3.3
"Biscuit, sweet, Anzac style, commercial",463.67112810707454,5.8,22.1,60.3,3.8
"Biscuit, sweet, Anzac style, homemade from basic ingredients",474.9043977055449,4.6,22.6,64.0,3.1
"Biscuit, sweet, ginger flavoured, commercial",423.51816443594646,4.8,10.6,77.7,1.9
"Biscuit, sweet, plain",446.4627151051625,6.4,15.8,69.4,2.1
"Biscuit, sweet, plain, with icing, commercial",425.9082217973231,4.6,11.2,77.5,1.7
"Biscuit, sweet, shortbread style, commercial",504.30210325047796,6.2,26.3,60.8,2.3
"Biscuit, sweet, wheatmeal",413.00191204588907,7.8,11.7,67.0,5.6
"Biscuit, sweet, biscuit base, caramel filling, chocolate-coated, commercial",440.4875717017208,5.6,19.7,61.8,1.8
"Biscuit, sweet, biscuit base, mint filling, chocolate-coated",522.944550669216,6.3,29.4,60.6,0.6
"Biscuit, sweet, chocolate chip or coated",472.99235181644354,5.8,22.7,61.9,3.0
"Biscuit, sweet, chocolate chip, homemade from basic ingredients, fat not further defined",473.4703632887189,5.1,21.7,66.0,1.0
"Biscuit, sweet, chocolate flavoured, commercial",467.01720841300187,6.2,17.2,72.4,1.9
"Biscuit, sweet, cream filled, commercial",464.6271510516252,5.4,21.5,62.8,2.7
"Biscuit, sweet, sandwich, cream & jam filling",471.7973231357552,4.0,22.5,64.1,1.8
"Biscuit, sweet, sandwich, cream filling, chocolate-coated, tim tam style",497.13193116634795,5.4,25.4,63.1,2.2
"Biscuit, sweet, breakfast style, with or without dried fruit",437.3804971319311,7.5,15.6,64.6,6.4
"Cone, wafer style, for ice cream",401.7686424474187,9.1,4.0,79.7,3.2
"Bread, flat (pita or Lebanese), white, commercial",263.3843212237094,9.5,2.1,49.1,3.7
"Bread, flat (pita or Lebanese), wholemeal, commercial",256.69216061185466,8.6,2.0,47.2,6.4
"Bread, Naan, commercial",292.5430210325048,8.0,7.1,47.8,2.6
"Bread, tortilla, white, commercial",301.8642447418738,7.3,9.0,46.3,2.0
"Bread, wrap, white, commercial",302.5812619502868,7.8,8.4,46.9,3.0
"Bread, flat wrap or tortilla, corn, commercial",238.76673040152963,4.8,3.2,44.8,5.0
"Breadcrumbs, white",381.9311663479923,14.0,4.1,68.5,4.7
"Bagel, from white flour, commercial",265.05736137667304,10.4,1.4,50.7,3.1
"Bagel, from white flour, commercial, toasted",301.1472275334608,11.8,1.6,57.6,3.5
"Bread, damper, from white flour, homemade",259.08221797323137,7.5,5.5,42.9,3.3
"Bread, damper, homemade, toasted",304.7323135755258,8.8,6.5,50.5,3.9
"Bread, from white flour",250.95602294455065,9.5,2.0,46.2,3.2
"Bread, from white flour, toasted",296.6061185468451,10.8,2.8,54.3,4.3
"Bread, from white flour, Italian-style, commercial",255.736137667304,9.0,2.5,46.8,3.9
"Bread, from white flour, Italian-style, commercial, toasted",304.49330783938814,10.7,3.0,55.7,4.6
"Bread, from white flour, Turkish",247.37093690248565,7.8,2.8,45.5,3.6
"Bread, from white flour, Turkish, toasted",294.6940726577438,9.2,3.3,54.2,4.3
"Bread, from white flour, sour dough, commercial",229.68451242829826,8.8,1.4,42.9,3.1
"Bread, from white flour, sour dough, toasted",273.42256214149137,10.4,1.7,51.1,3.7
"Bread, organic",247.13193116634798,11.6,2.9,40.3,5.6
"Bread, organic, toasted",290.6309751434034,13.7,3.4,47.4,6.6
"Bread, pizza base, commercial",265.05736137667304,8.6,3.3,48.5,2.7
"Bread roll, from white flour",249.52198852772466,9.3,2.9,44.6,3.0
"Bread, from wholemeal flour",237.33269598470363,10.4,2.5,39.2,6.9
"Bread, from wholemeal flour, toasted",279.1586998087954,12.2,2.9,46.1,8.1
"Bread roll, from wholemeal flour",261.71128107074566,10.1,3.0,45.2,5.8
"Bread, mixed grain",257.64818355640534,10.7,4.5,39.8,5.8
"Bread, mixed grain, toasted",303.0592734225621,12.6,5.3,46.8,6.9
"Bread roll, mixed grain",250.0,12.2,3.0,40.3,5.6
"Bread, from rye flour, sour dough",234.22562141491395,9.2,1.6,42.7,5.2
"Bread, from rye flour, sour dough, toasted",275.5736137667304,10.8,1.9,50.2,6.1
"Bread, from white flour, added fibre",246.65391969407264,9.7,1.7,43.6,6.4
"Bread, from white flour, added fibre, toasted",293.7380497131931,11.5,2.0,51.9,7.7
"Bread, from white flour, added omega-3 polyunsaturates",251.91204588910134,9.1,2.1,46.6,3.1
"Bread, from white flour, added omega-3 polyunsaturates, toasted",293.0210325047801,10.6,2.4,54.2,3.6
"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe",251.434034416826,8.3,2.3,45.7,6.5
"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe, toasted",295.8891013384321,9.8,2.7,53.8,7.6
"Bread, gluten free",212.23709369024854,5.5,3.9,36.6,3.9
"Bread, gluten free, toasted",252.62906309751432,6.5,4.6,43.6,4.6
"Bread, garlic, commercial, baked",344.6462715105162,8.0,15.1,42.8,3.0
"Bread, garlic or herb, homemade, cooked",307.1223709369025,8.8,11.4,40.5,3.6
"Bread roll, topped with cheese",280.35372848948373,12.4,9.0,35.8,2.4
"Bread roll, topped with cheese & bacon",280.35372848948373,16.6,11.2,27.0,1.8
"Bread, brioche",323.37476099426385,9.5,10.6,46.5,2.4
"Bread, from white flour, commercial, added dried fruit",265.774378585086,8.8,3.7,47.3,3.6
"Bread, from white wheat flour, added dried fruit, toasted",295.4110898661568,9.8,4.1,52.6,4.0
"Bun, sweet, hot cross bun, with dried fruit",264.81835564053534,7.2,3.2,50.2,4.1
"Bun, sweet, with dried fruit, uniced",295.4110898661568,6.5,5.0,55.2,3.0
"Bun, sweet, with dried fruit, iced",289.1969407265774,6.4,6.1,51.8,1.9
"Crumpet, from white flour, toasted",222.2753346080306,7.1,1.2,43.3,3.0
"Muffin, English style, from white flour",224.18738049713193,10.1,2.1,38.7,3.2
"Muffin, English style, from white flour, toasted",243.54684512428298,11.0,2.3,42.1,3.4
"Muffin, English style, from white flour, added dried fruit, toasted",252.15105162523898,9.7,2.0,46.4,3.6
"Breakfast cereal, beverage, non-chocolate flavours, added vitamins & minerals (Up & Go)",76.7208413001912,3.1,1.5,12.4,0.8
"Breakfast cereal, flakes of corn, unfortified",372.37093690248565,7.3,2.9,75.6,4.6
"Breakfast cereal, flakes of corn, added vitamins & minerals (Kellogg's Cornflakes)",388.3843212237093,7.9,1.8,81.8,3.8
"Breakfast cereal, mixed grain (wheat, rice & oat), flakes, honey, unfortified (Be Natural Honey Flakes)",355.64053537284894,8.4,4.1,65.0,12.5
"Breakfast cereal, mixed grain (rice & wheat), flakes, added vitamins & minerals (Kellogg's Special K)",398.9005736137667,18.2,4.1,70.5,2.7
"Breakfast cereal, mixed grain (wheat, oat & corn), added vitamins & minerals (Kellogg's Nutri-grain)",370.697896749522,23.3,2.5,62.8,2.5
"Breakfast cereal, mixed grain (wheat & oat), flakes, apricot & sultana, added vitamins & minerals (Kellogg's Just Right)",351.8164435946463,9.1,1.5,71.6,8.2
"Breakfast cereal, puffed or popped rice, no added sugar or salt, unfortified",383.3652007648183,8.5,3.0,77.6,2.3
"Breakfast cereal, puffed or popped rice, added vitamins & minerals (Kellogg's Rice Bubbles)",370.21988527724665,6.8,1.1,81.2,0.9
"Breakfast cereal, puffed or popped rice, cocoa coating, added vitamins & minerals (Kellogg's Coco Pops)",384.79923518164435,5.3,2.9,83.2,1.9
"Breakfast cereal, whole wheat, puffed, no added sugar or salt, unfortified",337.95411089866155,10.0,2.8,62.4,9.2
"Breakfast cereal, whole wheat, biscuit, no added sugar, unfortified",348.9483747609942,10.4,2.7,63.7,11.5
"Breakfast cereal, wheat bran, pellets, added vitamins & minerals (Kellogg's All Bran)",322.1797323135755,14.2,5.0,41.7,27.3
"Breakfast cereal, wheat bran, flakes, added vitamins & minerals (Kellogg's Bran Flakes)",353.0114722753346,12.2,3.6,58.4,19.3
"Breakfast cereal, whole wheat, biscuit, added vitamins & minerals (Sanitarium Weet Bix)",338.91013384321224,11.9,2.3,61.0,11.0
"Breakfast cereal, whole wheat, biscuit, bran, added vitamins & minerals (Sanitarium Weet-Bix Hi-Bran)",363.52772466539193,12.5,5.6,56.5,17.5
"Breakfast cereal, whole wheat, flakes, added vitamins & minerals (Weeties style)",350.6214149139579,11.5,2.0,65.0,11.7
