food_name,calories,protein_g,fat_g,carbs_g,fibre_g
Hot tea (Garam Chai),16.144298553466797,0.3878859877586365,0.5320665240287781,2.5819475650787354,0.0
Instant coffee,23.155832290649414,0.640666663646698,0.746666669845581,3.6533334255218506,0.0
Espreso coffee,51.543373107910156,1.7470030784606934,2.1381702423095703,6.620504856109619,0.0
Iced tea,10.342187881469727,0.027968749403953552,0.010937499813735485,2.7015624046325684,0.0
Raw mango drink (Aam panna),35.91822052001953,0.15703445672988892,0.026340782642364502,9.047467231750488,0.6120251417160034
Fruit Punch (with fresh juices),36.116844177246094,0.13934893906116486,0.03250204399228096,9.38059139251709,0.06005493178963661
Fruit Punch (with squashes),23.12828254699707,0.0723448097705841,0.016838526353240013,5.989855766296387,0.16822615265846252
Lemonade,20.798982620239258,0.034817468374967575,0.010450966656208038,5.478568077087402,0.016864709556102753
Lem-o-gin,21.517364501953125,0.08075683563947678,0.028100909665226936,5.551969051361084,0.12919411063194275
Cumin infused water (Jeere/Zeere ka pani),9.08980655670166,0.16951678693294525,0.1104905903339386,1.8643821477890015,0.46353375911712646
Coco pine cooler,32.74876022338867,0.5550532341003418,0.9999814629554749,5.717686176300049,0.25724664330482483
Summer cooler,22.428831100463867,0.37390369176864624,0.03540007397532463,5.431630611419678,0.19671612977981567
Hot cocoa,90.0999984741211,3.3628273010253906,4.562827110290527,9.234031677246094,0.0
Cold coffee with ice cream,67.8487548828125,1.5701491832733154,2.109452724456787,11.244776725769043,0.007960199378430843
Banana milkshake (Kele milkshake),65.30644989013672,1.8432996273040771,2.371230125427246,9.145586013793945,0.2558610737323761
Mango milkshake (Aam milkshake),56.901123046875,1.7267510890960693,2.345879077911377,7.231504917144775,0.26441630721092224
Pineapple milkshake (Ananas milkshake),55.71769332885742,1.65925931930542,2.228806734085083,7.624691486358643,0.0
Orange milkshake (Narangi milkshake),57.41502380371094,1.8647887706756592,2.5239436626434326,7.10704231262207,0.0
Egg nog,97.14144897460938,4.776309490203857,5.11044454574585,8.145041465759277,0.019752884283661842
